Simple Production Data Report
Start date:,2/21/2025 12:00:00 AM
End date:,3/20/2025 12:00:00 AM

Timestamp,University of San Diego - Alcala Borrego,University of San Diego - Alcala Laguna,University of San Diego - Camino Hall,University of San Diego - Copley Library,University of San Diego - Founders Hall,University of San Diego - Jenny Craig Pavillion,University of San Diego - Kroc,University of San Diego - Manchester A,University of San Diego - Manchester B,University of San Diego - Soles,University of San Diego - West Parking
,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy,Production meter net energy
,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
2/25/2025 6:00:00 PM,0.0375976562509095,0.03125,0,0.03125,0,0,0,0,0,0.125,0.125
2/25/2025 7:00:00 PM,0.038089203594609,0,0,0,0,0,0,0.125,0,0,0.125
2/25/2025 8:00:00 PM,0.0380827582112033,0.03125,0,0.03125,0,0,0,0,0,0.125,0.125
2/25/2025 9:00:00 PM,0.0390430336383361,0.03125,0,0.03125,0,0,0,0.125,0,0.25,0.125
2/25/2025 10:00:00 PM,0.0390819231042769,0,0,0,0.125,0,0,0,0,0,0.125
2/25/2025 11:00:00 PM,0.0390625432582965,0.0625,0,0.03125,0,0,0,0.125,0,0,0.25
2/26/2025 12:00:00 AM,0.0390657443931559,0.03125,0,0.03125,0,0,0.25,0,0,0.125,0
2/26/2025 1:00:00 AM,0.0390592556068441,0,0,0,0,0,0,0,0,0.125,0.25
2/26/2025 2:00:00 AM,0.0385547523874266,0.0625,0,0,0,0,0,0.125,0,0.125,0
2/26/2025 3:00:00 AM,0.0400649960201918,0,0,0.0625,0.25,0,0.25,0,0,0,0.125
2/26/2025 4:00:00 AM,0.0390592772355376,0.0625,0,0,0,0,0,0.125,0,0,0.25
2/26/2025 5:00:00 AM,0.0390559571396807,0,0,0,0,0,0,0,0,0.125,0
2/26/2025 6:00:00 AM,0.039046223958394,0,0.5,0.0693750000209548,0.5,0,0.75,0,0,0.25,0.873333333409391
2/26/2025 7:00:00 AM,1.51564941406286,1.81125827814685,8.875,5.75490263814572,23.59375,0,15.2425000001676,10,0,13.4933376496192,18.3671151716262
2/26/2025 8:00:00 AM,6.33864343275218,7.37488302617567,27.25,24.8638442523661,81.625,0,12.2574999998324,16.125,0,41.3754123502877,53.3845514949644
2/26/2025 9:00:00 AM,11.0972120610377,12.9055183947203,39,34.2203266019351,120.875,0,0,31.125,0,63.8719029016793,84.2342192691285
2/26/2025 10:00:00 AM,14.3871351771531,15.9997986342642,45.5,40.0702517562895,142.5,0,0,48.8633462819271,0,77.306861348683,106.140780730871
2/26/2025 11:00:00 AM,16.508612693352,17.3436378205079,48.25,43.1489560012706,153.3125,0,0.249166666530073,32.6366537180729,0,72.0663869706914,119.216295681079
2/26/2025 12:00:00 PM,16.4530873909125,17.2813697930542,47.75,42.1545312499511,150.125,0,0.000833333469927311,43.875,0,92.8634850166272,120.889120985637
2/26/2025 1:00:00 PM,15.63022623698,16.1231246539392,44.125,39.0528125000419,138.5,0,0,41.125,0,66.5226137624122,112.240455426509
2/26/2025 2:00:00 PM,13.8337634780855,13.0966593992198,35.875,31.8257587064872,112.625,0,0,34.875,0,70.75,93.5291279067751
2/26/2025 3:00:00 PM,9.84854592460033,7.8133347175899,22.25,21.4395867708954,72.1875,0,0.25,29.75,0,40.973156956723,66.5
2/26/2025 4:00:00 PM,1.59555550508594,2.28156111569842,7.375,6.69037421955727,24.5,0,0,7.375,0,13.901843043277,32.1220930232666
2/26/2025 5:00:00 PM,0.0596352003740321,0.0626041666837409,0.5,0.396780303039122,1,0,0,1.25,0,2.625,3.37790697673336
2/26/2025 6:00:00 PM,0.037109375,0.03125,0,0,0,0,0.25,0,0,0.125,0.125
2/26/2025 7:00:00 PM,0.0390558814378892,0.03125,0,0.03125,0.125,0,0,0.125,0,0.124860801966861,0.125
